artist,album,track,uri
KYLE,Somethin Bout U,Somethin Bout U,spotify:track:3aEQjuGpL2ZyYtnOKEgP6w
Chloe x Halle,Ungodly Hour,Intro,spotify:track:6zP0N4moIKjEBFvztP88DR
EXO,The 2nd Album ‘EXODUS’,CALL ME BABY,spotify:track:4jdiqVbH1eUwc4MzDV7GMu
Cha Wa,My People,My People,spotify:track:5Oyetsx1wOyE5P9WoyT6OA
Drew Howard,Music to Soothe the Savage Youth,Benny & Lil' Ze,spotify:track:4mfinnQbFNKiREfNlUgi2Q
"Tyler, The Creator",CALL ME IF YOU GET LOST,SIR BAUDELAIRE (feat. DJ Drama),spotify:track:4ydmav4vl7hebadtfZtMrg
Love Regenerator,Live Without Your Love (with Steve Lacy),Live Without Your Love (with Steve Lacy),spotify:track:3XnvNOjFKyFyNvxlXy1DXm
Lauren Faith,SAVITRI / ELECTRIC ENIGMA,SAVITRI,spotify:track:4ZCK5ucXFABWM5EQYhcaEe
chlothegod,My GF H8s Me,Digging Around,spotify:track:5E5ToMHn2Pf7vF9zqrMYKk
Teedra Moses,Be Your Girl (Kaytranada Edition),Be Your Girl (Kaytranada Edition),spotify:track:7xAE36UUNgyDJDIM4yiucY
Jordan Rakei,Groove Curse,Add the Bassline,spotify:track:4EmrbKpQotKGCH0IWCnAOP
Jeshi,COMING DOWN,COMING DOWN,spotify:track:09Z3vqWLXnpCytqf3vZfEy
Tove Lo,BLUE LIPS,dont ask dont tell,spotify:track:1N10MdGT4HypP8QA3kmmbQ
Flo Milli,"You Still Here, Ho ?",Conceited,spotify:track:3qKunud9sySc8qvQ3i84og
Drake,So Far Gone,Uptown (feat. Bun B & Lil Wayne),spotify:track:0q7LGcVSpsIoSbjChtZ8lI
N.E.R.D,In Search Of...,Run To The Sun,spotify:track:4Bjwyj8KM85xblkSt5A24j
Nelly Furtado,Loose,Maneater,spotify:track:4wH4dJgrsxONID6KS2tDQM
Steve Lacy,Steve Lacy's Demo,Ryd,spotify:track:3I8yVFjvJoOBM9tX4ZpxEL
Lamp,ランプ幻想,二十歳の恋,spotify:track:1EA40FX9aBaKIXwIp83WzL
Paula.B,Habits,Habits,spotify:track:2kK52TyMJpjQMRNIB0TOXj
Hippo Campus,Bambi,Bambi,spotify:track:2dCTcN5w3VJko61tVBUfRG
JID,Surround Sound (feat. 21 Savage & Baby Tate),Surround Sound (feat. 21 Savage & Baby Tate),spotify:track:0cp97b37sFNsdIbQH6po3T
KAYTRANADA,10%,10%,spotify:track:6Ti0coAmnSsv3Wx09RhoY6
Tash,Lemonade,Lemonade,spotify:track:6ygDuZR468369KJvtcQr5Z
Nas,King's Disease II,Nobody (feat. Ms. Lauryn Hill),spotify:track:1W7gmQ7AgRMIUthrV0OD0h
Saya Gray,19 MASTERS,IF THERE’S NO SEAT IN THE SKY (WILL YOU FORGIVE ME???),spotify:track:7HZBcgvSFZ7A6nYxM5ygvF
Justin Bieber,Journals,Heartbreaker,spotify:track:21pCToQdqcPi879auxjxKe
LOONA,[+ +],Hi High,spotify:track:0RqzUS7AkBhQDrBxcGFeDv
Bea Miller,feel something,feel something,spotify:track:7JDWhC422Gtk1Bq0mL3OTC
Teezo Touchdown,How Do You Sleep At Night?,You Thought (feat. Janelle Monáe),spotify:track:698IDYJMDJS5IVakqcX8vo
Jay Safari,Are You Even Sorry,Are You Even Sorry,spotify:track:6rDRn3bjkILnkDJySKjzMO
Justin Bieber,Journals,Confident,spotify:track:5Isz0twJeFdduOQEFQLezv
KayCyy,My Jeans,My Jeans,spotify:track:1IBKObjs2laDkUdzE86jr4
Kuma Overdose,Can't Afford Me,Can't Afford Me,spotify:track:4yivH4KJCrvjOEL4ydbOMi
Moonchild,Little Ghost,Get To Know It,spotify:track:326HFfu3wV2nXGiU8FMw3Z
Tame Impala,The Slow Rush,One More Hour,spotify:track:0mO6oS60RST2sWmN2FKknP
Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,telepatía,spotify:track:6tDDoYIxWvMLTdKpjFkc1B
A Boogie Wit da Hoodie,Reply (feat. Lil Uzi Vert),Reply (feat. Lil Uzi Vert),spotify:track:364spZLB5bhNlnPrzvUB41
Papi Churro,El Barrio,El Barrio,spotify:track:5MFO6JHKpYUHo9XZkPlD3Y
Hare Squead,100 Miles,100 Miles,spotify:track:10GA73p3kE1F3qKxe2D00k
Disclosure,Caracal,Good Intentions,spotify:track:1zdDIieTg3JyVPeHPO9227
Madison McFerrin,"Finding Foundations, Vol. 1",No Time to Lose,spotify:track:3xdYvIkMVU4dlCzD4lji2u
kaiyel,been a long day,been a long day,spotify:track:08AAf8wcx8aq1V9n2ROwqq
WILLOW,t r a n s p a r e n t s o u l feat. Travis Barker,t r a n s p a r e n t s o u l feat. Travis Barker,spotify:track:1QL7nSDZCwZMnbisV4KOXt
RAYE,My 21st Century Blues,Flip A Switch.,spotify:track:252ZECHopILLs10pMfE76N
Sticky Fingers,Caress Your Soul,These Girls,spotify:track:4iURgDfsolmCJtknzWuyxj
Kennie,Black Neon,Northern Lights,spotify:track:6xVwzzLxPSO3kbjmRQqWp3
Tora,Take A Rest,Too Little,spotify:track:37SRnVAPPnvXFBdEZCXVgT
Kehlani,SweetSexySavage,Distraction,spotify:track:2wSQyp6VzUopSFBinRo1iD
Mac Miller,The Divine Feminine,Cinderella (feat. Ty Dolla $ign),spotify:track:2lpygKqzPFtItQ4ss3cgfb
Blood Orange,Four Songs,Something You Know,spotify:track:2ncuOb03YO4YfMYNvyKnXk
Dana and Alden,Quiet Music For Young People,Glock,spotify:track:6S57h2IDxuPLFVj9M7Aqxk
Justin Bieber,Journals,Hold Tight,spotify:track:0na8x6EOqjHsGABdB90TIC
THE ANXIETY,THE ANXIETY,Poolside,spotify:track:1aNiHxopNsQDGRCrrAw9FX
Trippie Redd,A Love Letter To You,It Takes Time,spotify:track:7022xokeCJFSeZxw2npVkn
Kid Bloom,Electric U,Electric U,spotify:track:61au8r2wPFZVPhEG11bQTx
MrSkidaddles,Dragonfly's Outro,Dragonfly's Outro - Sped Up,spotify:track:01CpXeNbknStIvXrh3EgRa
Carter Ace,If It Don't Work,If It Don't Work,spotify:track:3FsjNq0T7I4rrU2hlvt3jv
LE SSERAFIM,UNFORGIVEN,"Eve, Psyche & The Bluebeard’s wife",spotify:track:4QhnNyKDsAkXPwHkSnuc89
Cody Currie,Moves EP,Moves,spotify:track:0o0jBWUuvn9VjpHxLky8ai
BenjiFlow,Deep End,Deep End,spotify:track:6w2WWyBAOXQeP6waVT9s5O
Lou Phelps,Out My Face,Out My Face,spotify:track:4Wwl0IvrWcb6XWvPGlk3iZ
wev,dawn,dawn,spotify:track:7gMPN3JRINffttD1ZTCVkh
Tom Misch,Beat Tape 1,Climbing,spotify:track:51JCfU0ZXc4vigMO9aOCXV
Sonny Fodera,Wired (with Ella Eyre),Wired (with Ella Eyre),spotify:track:7k3uKOLzMCvYM00E3QZTSq
Kendrick Lamar,Mr. Morale & The Big Steppers,Savior,spotify:track:0YeUVm23SAkUruwEx9LWnt
Blanco,English Dubbed,Pull Up,spotify:track:6h2nENjlo0GOIpVurs98EY
Lianne La Havas,Please Don't Make Me Cry (Jordan Rakei Remix),Please Don't Make Me Cry - Jordan Rakei Remix,spotify:track:3fku32mH3zk91khNJcmZDR
Naux,Gdv Zoo,Unfuckwithable,spotify:track:4uR6lASkaJZYGoUVBaVtcx
Titanic,Vidrio,Hotel Elizabeth,spotify:track:4BgUvaWu9gwuZSbAwElnTH
Deante' Hitchcock,BETTER,Growing Up/Mother God,spotify:track:0hvMMP2It7vjCdaPyJIbAD
Air Supply,Now And Forever,Even the Nights Are Better,spotify:track:09bRmFRViBORKQ2miwp04P
SiR,November,D'Evils,spotify:track:0wY9rA9fJkuESyYm9uzVK5
Full Crate,Still Growing,Lights Went Down,spotify:track:2i3h4TjB4UnWrWhdprbtOW
Joey Bada$$,Head High,Head High,spotify:track:1TUNcLZZImGkNlviSpQp6H
Ari Lennox,PHO EP,GOAT,spotify:track:1MVpa4w2TsjgUoJxMRAP0Z
Ley Soul,Save Your Love,Save Your Love,spotify:track:6K2UZbqrvvF34OYq70xHz5
Becky and the Birds,Wondering,Wondering,spotify:track:7a8tEqIwhpLSDnWMh4wegm
Ginuwine,R&B: From Doo-Wop To Hip-Hop,Pony,spotify:track:6mz1fBdKATx6qP4oP1I65G
Burns Twins,Day by Day,Day by Day,spotify:track:4BlSww0O96sqshcMnTdLU7
Reuben James,Champagne Kisses,Toast,spotify:track:6laNWxlR59wDEZwJDk2aLu
Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),Rock That Body,spotify:track:0bV5o5oAH9NNBHmmShNAME
The South Hill Experiment,MOONSHOTS,Gabo's Last Resort,spotify:track:1MYQbVNaZrAxj4NW7RDXHG
ScHoolboy Q,BLUE LIPS,Yeern 101,spotify:track:4P8XKXpkJ2QGM442VUwfOX
Benny Atlas,Make A Place,Make A Place,spotify:track:1tnHsDjJqZPp7uZNqCERJ9
SOMOS *,Paraíso,Paraíso,spotify:track:2JbsjZqb7vpITf0XOXzawg
St. Vincent,All Born Screaming,Hell Is Near,spotify:track:5tuHiLI7CPV1BI9m2Gnlph
((( O ))),((( 1 ))),Je Suis Infini,spotify:track:0TzGoviZi3vXFY3ilGLClm
KAYTRANADA,TIMELESS,Pressure,spotify:track:3ruMQcure3yXNsZkDx0Dqh
AtariJones,Lunch ' N ' Breakfast,Lunch ' N ' Breakfast,spotify:track:1zkHdND4gKwhhA70pq9fk9
Wavves,V,My Head Hurts,spotify:track:2cP8RV40nIufHrVQRWwnkG
TiaCorine,The Saga of 34Corine,Luigi,spotify:track:3WiaVc2oa9imq75hhTqlw4
Jaden,SYRE,Ninety,spotify:track:2jdw2tc29bqJwToyGvKgJm
Alex Vaughn,So Be It (with Summer Walker),So Be It (with Summer Walker) - Remix,spotify:track:4CZYU36tRUXVWKqd0Xtidm
Daul,For Us,For Us,spotify:track:5y5SHTh6nq8b4Frs3usMpp
GROUPLOVE,Never Trust a Happy Song,Tongue Tied,spotify:track:0GO8y8jQk1PkHzS31d699N
Berhana,Berhana,80s,spotify:track:58bFfMjShaACL6sAIR1Eyj
Kamaal Williams,Hold On,Hold On,spotify:track:0yE2VIVUryAQDUmhkFc7oB
Madison McFerrin,God Herself,God Herself - Tune-Yards Remix,spotify:track:1tuHCS6WnQKg8uGMPxinWb
Gabriel Garzón-Montano,Someone / Agüita / Bloom - A COLORS SHOW,Someone / Agüita / Bloom - A COLORS SHOW,spotify:track:59ariLECsMP2z3TpjnUmCK
Ark Woods,Hell and HI Water 2,She Stole My Heart,spotify:track:3SsBOP6ESTsu9KtbgjKycE
Drake,More Life,Do Not Disturb,spotify:track:2KvHC9z14GSl4YpkNMX384
Justin Bieber,Journals,Recovery,spotify:track:2hsp8XYaXIXSSY1kPeee6X
Supershy,Happy Music / Something on My Mind,Happy Music,spotify:track:7uGpUhy4uf2UrHH7TyhM6C
Lil Nas X,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name) - But Lil Nas X Makes All The Sounds With His Mouth,spotify:track:3VdCz72mvOvtT0k4neZ1Sg
SZA,"Insecure: Music from the HBO Original Series, Season 2",Quicksand,spotify:track:0UQSyryW2vxE88AVFSZs3T
Durand Jones & The Indications,American Love Call,Sea Gets Hotter,spotify:track:5ZK62nSchTamBy8F6HIZov
Little Simz,Sometimes I Might Be Introvert,Protect My Energy,spotify:track:64DqILfBnCXzhEDGUHZet1
Aminé,TWOPOINTFIVE,meant2b,spotify:track:07Q0PGsNl7xgqB6sjHvzYu
Bobby Raps,Wicked City,Wicked City,spotify:track:3InReBbiSTRMiY9cZCFaKK
Knox Brown,FLEX,FLEX,spotify:track:2OJAJkXXfuNHLElpkteLCk
((( O ))),((( 1 ))),Remember,spotify:track:1yBGpkOGphsQjfqSfZh6Fs
River Tiber,Indigo,Acid Test,spotify:track:1oSOyE9Ap4PNSpxfirRPDs
MagnusTheMagnus,Keep On Lovin',Keep On Lovin',spotify:track:0jdS0KDmfgTD60RZ2mlnrB
SG Lewis,Feed The Fire (feat. Lucky Daye),Feed The Fire (feat. Lucky Daye),spotify:track:0yU8ftsMI0LDMtee8TDsDR
Antonio Barret,2 AM,2 AM,spotify:track:06nXt6ESO6FzbvD5QQ1Eqj
Shay Lia,Feels,Feels,spotify:track:6hPkY064ggTUaOrUtVwIAY
SamRecks,BACK PACK,BACK PACK,spotify:track:5WAMHyec9GXj0P4E1qnCJk
The Garden,Thy Mission,Thy Mission,spotify:track:7LcmuGeSXQzQlteW3yGtWb
Hush Forte,Summer Girl,Summer Girl,spotify:track:38OhMWKARc0u61rOA3aIB0
Kanii,I Know,I Know,spotify:track:2RkMSIqUdveO3p8KVpYBYI
bad tuner,look at me but through me,caught up,spotify:track:18rUsFjE2GoJaO2eesZtUP
Frank Ocean,Blonde,Pink + White,spotify:track:3xKsf9qdS1CyvXSMEid6g8
Flo Milli,Nasty Dancer,Nasty Dancer,spotify:track:7itIhLBlKcpdaSqXRsSuW3
Miguel,War & Leisure,Come Through and Chill (feat. J. Cole & Salaam Remi),spotify:track:1m8WpLYXEiNVZchsWEcCSy
Berklee Upper Structure,I Miss You,I Miss You,spotify:track:1WxQ2onivl52sVrkUySvCh
Bairi,Ophiuchus,Ophiuchus,spotify:track:68PgezyNLbpX7dABzVpLDy
Cailin Russo,Pink Sand,Pink Sand,spotify:track:7xgyHMFWayafh1Da3ptQDE
Enji,Ulaan,Taivshral,spotify:track:0Q6JH1gDVsDRiDpES28Dqc
Luna Li,Duality,Cherry Pit,spotify:track:6A99m7rCQHZ1Len8QlPfOf
Phonte,No News Is Good News,Sweet You,spotify:track:3OHxPzfXTFwYzCZoZaade2
Sunni Colón,Satin Psicodelic,Baby I Don't Mind,spotify:track:40YkgUfMvXowQd8WuwCqJG
The Murlocs,Young Blindness,Rolling On,spotify:track:79x1qL47ZyywV5Va12FIiH
Georgia,Seeking Thrills,Started Out,spotify:track:7l5Z2grGc47Hs84Zm7XobV
Che Lingo,Coming Up For Air,Private Dinners,spotify:track:3Jmm0cfn5kNuwud7iBdpiM
Jarreau Vandal,Suburb Superhero: The Villain Within,Slow It Down,spotify:track:1F94cldqk8MnNYcoGDpGGr
Limbo,Holo,Airplane Mode,spotify:track:57ifn7s0IPnqCgXXHXQCHL
Sophie Marks,LET ME IN,Let Me In,spotify:track:0BD4dPbRHXGkQltYZ9eEF5
Lucaa,Would u answer?,1980,spotify:track:3K0binVOqhif6IwCZrm5Uj
Mychelle,Forbidden Fruit,Forbidden Fruit,spotify:track:7iaCPgRVRsp2gjBlLhG91s
¿Téo?,Sol,Buena,spotify:track:4O1Fd402bt9mL4d65qXJKL
UNCOMMENN,Selfish,Selfish,spotify:track:4n8PYh5p5W0wrPmfowOTSR
Amindi,Take What You Need and Then Some,taste,spotify:track:5xL687T4SPMnrpDrljePAV
Steve Lacy,Mercury,Mercury,spotify:track:3ixe45hov7EBKXm8tYBmvX
Rayana Jay,Morning After,Everything,spotify:track:65OzTXP2Atva3eOmfKpKOP
Jordel,Græ,Græ,spotify:track:7Dv5szaGaqLCvqGhdK0CVX
Baby Keem,family ties (with Kendrick Lamar),family ties (with Kendrick Lamar),spotify:track:7Bpx2vsWfQFBACRz4h3IqH
FLO,Fly Girl (feat. Missy Elliott),Fly Girl (feat. Missy Elliott),spotify:track:2sITbbWIOeg2Lwp4WN2jqr
D.Glover,Royal,We Ain't Them,spotify:track:2d2SZkpCI2GFchnxTm4l57
Bruno Major,A Song For Every Moon,Easily,spotify:track:2k9N4caeCIJLOWwWwssrEM
Frank Ocean,Chanel,Chanel,spotify:track:6Nle9hKrkL1wQpwNfEkxjh
chromonicci,Interstellar.,Interstellar.,spotify:track:4k9BF0WyAx8l8GaB9oJzyV
LAUNDRY DAY,HOMESICK,CHA,spotify:track:034IcTy5i48Ck6EEYbrMtX
Frank Zappa,The Grand Wazoo,The Grand Wazoo,spotify:track:082IAKQwehqrG3VFqP8RyQ
Laufey,A Very Laufey Holiday,Santa Baby,spotify:track:4jHl6jgzZOnS4nGamPZ1Uk
Tinashe,Songs For You,Save Room For Us,spotify:track:0fj8OHLYnonkhlJsqmK2Cg
Gallant,311!,311!,spotify:track:4tQPhI1lvsqsyqT7AOwwdG
Jacob Collier,Djesse Vol. 2,Lua (feat. MARO),spotify:track:5YK0WaXMtRHeWEn8EIbmPw
Estelle,Shine,American Boy,spotify:track:6etwirSInfuJrSOlogS6Sh
Dana and Alden,"Coyote, You're My Star",Bourdain,spotify:track:4B0Xg6n2VG0bNXOoeNdXLk
Tame Impala,InnerSpeaker,Alter Ego - 2020 Mix,spotify:track:457sndKohlwTU6dW6amBMU
KAYTRAMINÉ,KAYTRAMINÉ,4EVA,spotify:track:2sUImfbz5cpAW50SiQla4h
Snoh Aalegra,"- Ugh, those feels again",Whoa,spotify:track:2E0UymXqHER6j37pBoHTC0
MADELEINE,Sun Daughter,See Me Too,spotify:track:23lHAcn7a37XceXZROWF4H
Paradis,Majestic Casual - Chapter I,Hémisphère,spotify:track:1tZ6pZDdK7tgJS3nImqI60
KYLE,Smyle,Don't Wanna Fall In Love,spotify:track:5KbwfZTcyt5REWi1ZSN4J8
Tom Misch,Geography,Isn't She Lovely,spotify:track:23H8PpuhyTDHwpqcDm7vS6
Johnny Yukon,Gloria !,Gloria !,spotify:track:4u8O5o5Fnmo0wJLFZW1bxH
Bloody Civilian,Black Panther: Wakanda Forever - Music From and Inspired By,Wake Up,spotify:track:11eM29CRUKqdlb6zHe13pP
p-rallel,Vibes (feat. Sam Wise & Venna),Vibes (feat. Sam Wise & Venna),spotify:track:0rpSppwgJjbbeYEmM7uujk
Teezo Touchdown,None of Your Business (from Despicable Me 4),None of Your Business (from Despicable Me 4),spotify:track:6aOaD4kexUZLvOltxQY4ph
"Tyler, The Creator",CALL ME IF YOU GET LOST,RISE! (feat. DAISY WORLD),spotify:track:4Hta7Oy5W9HD0UgT1P8PPV
J. Cole,4 Your Eyez Only,She's Mine Pt. 1,spotify:track:0HtOJj7Kl74s1Ngf3MWeif
Ndotz,Embrace It,Embrace It,spotify:track:0io16MKpbeDIdYzmGpQaES
Temani Hill,Power,Power,spotify:track:6QccBAqcybdAtdsu9wqUPm
Ravyn Lenae,Moon Shoes EP,Venezuela Trains,spotify:track:7K6iiGbqmOhWFqjj0bvTKL
Kanii,Companion,Companion,spotify:track:5gdTDWskPEc1QlJ4mukqBd
Childish Gambino,Kauai,Late Night In Kauai,spotify:track:0BvV6bfJrzUgmT18lAgpeA
lophiile,To Forgive,You've Changed,spotify:track:2oPP17aOdHbdNo2jEPDpvt
Rsieh Raxan,treat you right,treat you right,spotify:track:1oPw1fnI9wwmCWsSx5t9JU
JID,The Forever Story,Can’t Make U Change (feat. Ari Lennox),spotify:track:14m8FDBybkX7ROmg1AXOpu
Chaka Khan,Hello Happiness,Hello Happiness,spotify:track:4lycyDAaLfWw4dXj6UIZ39
Lauren Faith,Just a Little,Just a Little,spotify:track:5P6nbeGMqnAGwqt9rrraaQ
The Celestics,Supreme Laziness,Uptempo,spotify:track:6BtCz1DSDa7f0DQqjdjzFE
Mac Ayres,Magic 8ball,Where U Goin' Tonight?,spotify:track:4Z5Bwienk09FUgwsMlsPwJ
Ric Wilson,Woo Woo Woo,Woo Woo Woo,spotify:track:70kzEQyJxUyEvVD1a0Igy6
Moonchild,Little Ghost,The Other Side,spotify:track:0qW26HRC49wd7w03iaaZUo
Ari Lennox,Shea Butter Baby,Chicago Boy,spotify:track:0Gx7phIMvHVT7pXk03h0rH
Hugh Augustine,Dubious,Nights On Replay,spotify:track:0QBcbjgXfe71LhD0jdvItc
Aminé,ONEPOINTFIVE,CHINGY,spotify:track:5KpUzmHFirESqWjCrXnmWS
Justin Timberlake,FutureSex/LoveSounds,Set the Mood Prelude / Until the End of Time,spotify:track:39q69v4D15oSshBmlJrkmW
River Tiber,Dreaming Eyes,Rainbow Road,spotify:track:6q76PKRnMPN9ETeqI0FZL0
Nana Lourdes,Made Your Mama Cry,Made Your Mama Cry,spotify:track:3GROKC4eYt3KVWN3AyMCwL
LOONA,Chuu,Heart Attack (츄),spotify:track:6SSC9KZQaxBdyipKRigrFC
Snowk,This Is Good,This Is Good,spotify:track:6K9FwSKOvILs2MrY8DaKsR
Harry Styles,Harry Styles,Kiwi,spotify:track:33SNO8AaciGbNaQFkxvPrW
Maeta,Teen Scene feat. Buddy,Teen Scene feat. Buddy,spotify:track:7rNjupJkjsc3ANGeW0RCYj
Jean Deaux,Wikipedia,Wikipedia,spotify:track:5ymQzQmUWJNIMlTUAldfVZ
The Silhouettes Project,Standing There,Standing There,spotify:track:3KsOjjJa7Zo59R4pyr1Wvb
Grimm Lynn,Sweet Heat,Sun + Moon,spotify:track:56JJaTfrkSJzqkUtz9NhmA
Donald Byrd,A New Perspective,Cristo Redentor - Remastered,spotify:track:0Xfq6BeOHdzf16gk9y8a1P
Barry Can't Swim,When Will We Land?,Always Get Through To You,spotify:track:0g8nIlk2ltpZP8lYlPvRx1
Dbangz,Last Claim,Last Claim,spotify:track:6JnMOIZw4vOcjKXktojhHo
Daft Punk,Random Access Memories,Doin' it Right (feat. Panda Bear),spotify:track:36c4JohayB9qd64eidQMBi
Remo Drive,Greatest Hits,Yer Killin' Me,spotify:track:0BIrMPPbpGwWTjscXrABp7
Jazmine Sullivan,Insecure,Insecure,spotify:track:360NCp4XoQ0sFi5jgu5Ww7
Samm Henshaw,How Does It Feel?,How Does It Feel?,spotify:track:7nnz5nWr6iHtiEhH3a22HH
Cleo Sol,Gold,Gold,spotify:track:1cwQahQmKdmKaCijjdNEv3
Nealo,Just My Luck,Just My Luck,spotify:track:7Kaz3t4Kk5AtuUROP06BvP
Tove Lo,Lady Wood,Lady Wood,spotify:track:5cB9BlseQteklXaJjRtZti
Lo Village,For the Birds,Lil Mama,spotify:track:1OaRwpEV7zj0yAIdNB9UHK
Cage The Elephant,Melophobia,Cigarette Daydreams,spotify:track:2tznHmp70DxMyr2XhWLOW0
Tom Misch,5 Day Mischon,Day 3: When You Want to Love,spotify:track:1m9AFbUHt2eSFB4bjftCLG
Alex Da Kid,Go 2.0,"Go 2.0 (feat. Jorja Smith, H.E.R. and Rapsody)",spotify:track:1Fj145pL4KfM2dyqabvkvl
Lianne La Havas,Lianne La Havas,Bittersweet,spotify:track:4uawMXx8VZ7WMrjAVOaCMe
Vulfpeck,The Beautiful Game,Cory Wong,spotify:track:1L9qsoNnyT3r8fgr2Pr7Ty
Satya,Oakland,Oakland,spotify:track:2gWjGckumDToBGjFXSVfYd
Madison McFerrin,God Herself,God Herself,spotify:track:10bH3xbZFCRWpOLecfKpLe
Hoody,Sunshine,Sunshine,spotify:track:2LLkJ46RvmYlkqduRgK1Nn
The Growth Eternal,PARASAiL-18,The Remains,spotify:track:468Xw9PKHCzUWwCO2YSts3
Julius Rodriguez,butterfly,prisner,spotify:track:1f5w6SKCFnvTf68De7JgMR
Lorde,Pure Heroine,Swingin Party,spotify:track:7otV7kSzDMo11qLlw8pAtr
Young Bull,Sopadelic,Voicemail,spotify:track:5oVjypdJ1BuxX6tiTU3cCb
Hovvdy,Hovvdy,Intro,spotify:track:142V2Ke4nrWk2tfiDfzLXf
Black Coffee,LaLaLa,LaLaLa,spotify:track:0oL5c4N1W1x8i9HZ3uzBAu
MF DOOM,Best of Mf,Doomsday,spotify:track:70We9AqHenA4jcmXmKzJnZ
Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],Barbie World (with Aqua) [From Barbie The Album],spotify:track:54JoSuLllU1JUlm0wIIeAF
Majid Jordan,Majid Jordan,Small Talk,spotify:track:1CJmTfrlU1d6FtAYNT36wD
Colony House,Silhouettes,Silhouettes,spotify:track:3QwtJJ8wu2wVYRh8v5hbFw
Beyoncé,Lemonade,Love Drought,spotify:track:2RQAG0wQt35UzAPEyVJFWN
Little Simz,Drop 7,Mood Swings,spotify:track:124nj3QzqpccVdLbiFHPeB
Charli xcx,BRAT,Club classics,spotify:track:0CySZwyRJ0vyUqtSjM9i2k
Little Simz,Sometimes I Might Be Introvert,"Little Q, Pt. 2",spotify:track:4W15aoR7Rl8ppUJxm05IFw
Chris Crack,Thanks Uncle Trill,Everything You Imagine Is Real,spotify:track:5NIpP7sceVgMAAdcyFfy4b
Mac Ayres,Juicebox,Jumping Off the Moon,spotify:track:4lsYKVpwkf5J2W55oIfLYk
Hoody,Departure,MIRO,spotify:track:0WcKvDUhDDT4wnsx10U2qT
Weatherday,Come In,Come In,spotify:track:4KGw9LGz77SU02u4Xd9O1K
Mariah Carey,The Emancipation of Mimi,Shake It Off,spotify:track:5ROnL6aB4p15CZ2sce0ciQ
Blood Orange,Angel's Pulse,I Wanna C U,spotify:track:4BD3sl4HjTAzWGVIP8LLm4
Ramaj Eroc,I Love You More,I Love You More,spotify:track:05xCuVFQTq9glGS0j67y6d
Cam O'bi,TenderHeaded,TenderHeaded,spotify:track:4g2HL6aQkiO4PxM10UQr3G
Kikagaku Moyo,Masana Temples,Amayadori,spotify:track:1hMCgqlzvwL6r5EliJFzOF
slowthai,BB (BODYBAG),BB (BODYBAG),spotify:track:2E0biFB3AGMSnJTDVbB8EE
Jack Harlow,Jackman.,Common Ground,spotify:track:2OZfJcpzSFApBxUA0gXuJz
Chuck Sutton,All or Nothin,All or Nothin,spotify:track:7LjHfW0OCBjYx01XkDA8QR
KAYTRANADA,Intimidated,$payforhaiti (feat. Mach-Hommy),spotify:track:5G1Xj9wn0TZRf7TSbiIY8M
Adia,Stubborn Nature,For Free,spotify:track:6gvX5HS8F3XQVJNN5qHJ8p
Jonah Yano,souvenir,delicate,spotify:track:4rHSTlvxBGn8clY6aEaHeq
Tame Impala,The Slow Rush B-Sides & Remixes,No Choice,spotify:track:3kI3vRDwTbYs9O8svalUWu
Theophilus London,Bebey,Seals - Solo,spotify:track:31OSLiPOnCbmXuEkTHdAb2
The Marías,Care For You,Care For You,spotify:track:2CBtdZVcpSwaxOcLUi1AGo
Drake,So Far Gone,Unstoppable (feat. Santigold & Lil Wayne),spotify:track:2TWSilrWcTrgVKcP8kfEfg
Kaÿn Lab,Live at Fendika,My Ethiopian Memory - Live,spotify:track:1RVGaLsCBJXyKu0AsP6tQH
Floyd Fuji,House Party,House Party,spotify:track:3fMUJkPGD2ezFtBBUprBsf
Travis Scott,ASTROWORLD,SICKO MODE,spotify:track:2xLMifQCjDGFmkHkpNLD9h
"Tyler, The Creator",CALL ME IF YOU GET LOST,CORSO,spotify:track:46oHvXwpEZOFX518we1nJD
Stevedreez,1-800-HITMYLINE,1-800-HITMYLINE,spotify:track:0DkpnbiHYv3tbhzL6HHxZQ
MOIO,SUNBEAMING,SUNBEAMING,spotify:track:75JDAoE9p9CI78Z7NVvokn
King Gizzard & The Lizard Wizard,"Ice, Death, Planets, Lungs, Mushrooms And Lava",Iron Lung,spotify:track:2GfQhXyoUXYTkMHDXJhCU5
Take Van,Lemme Fantasize,Lemme Fantasize,spotify:track:5HoBABnGo4MmxowXCjKozt
GoldLink,At What Cost,Have You Seen That Girl?,spotify:track:0H57lJQoHSzP4nE7EvTJPP
Drake,So Far Gone,The Calm,spotify:track:6MlGqWzDiLkZ0vmAEsisEk
No Suits,I'm Good,I'm Good,spotify:track:01ZEhzcrkUgtTBRjY3GKfC
Dana and Alden,Quiet Music For Young People,Baja,spotify:track:4NWmmHAm8kCbooHSGbEegG
Zoe's Shanghai,No Cure,No Cure,spotify:track:5ZVI0chJSdsqsj458FbFLr
Q,Take Me Where Your Heart Is,Take Me Where Your Heart Is,spotify:track:62kHSw6wBh4c6UemJCb5p6
The Marías,I Don't Know You,I Don't Know You,spotify:track:4cJOLN346rtOty3UPACsao
